,ACITL knock-out
Growth rate,0.184
Glucose uptake,-2.458913
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_RT,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-0.0003227851125129333
PDE4,0.0
PAPSR,0.0
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,0.0
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.0
MEVK1,0.1625371179052768
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,0.0
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.0
PPDOy,0.0
GLYCLTDy,0.0
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,2.0346439507987837
MI145P6Kn,0.0
ADK3m,0.0
DMATT,0.05390671930175893
PMPK,0.00025631199999999997
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.017510176
GLYTRS,0.09443248
HACD4p,0.0
GAT2er_RT,0.01559870375043111
DASYNer_RT,0.0067896
ACOAD8m,0.0
ECOAH1p,0.0
KYN,0.10596394399999247
HSTPT,0.01151104
FACOAL141p,0.0
FE2t,-0.0007882559999999999
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.038395832
AICART,0.03396290400001516
CYTD,0.0
42A12BOOX,0.0
DPGM,0.0
TPI,0.9899541995980249
COAtim,0.0
NADS2,0.0
ACACT4p,0.0
HISTRS,0.011254728
PHETRSm,0.0
OMCDC,0.05891772
LEUTA,-0.05891772
DTMPK,0.000464232
ALCD23yi,0.0
FA140COAabcp,0.0
FACOAL160p,0.0
PGL,0.35858094395318985
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.004290696
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.0
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.08428183777500442
MALtm,0.0
AMID,0.0
MCITSm,0.0
GNNUC,0.0
PNTK,0.0001416799999999982
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
FA180COAabcp,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.0007817302250258666
UDPG4E,0.0
CYOR_u9m,9.77171368203027
SHK3Dr,0.034439464000007546
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,0.0001416799999999982
IPC324PLCg_RT,0.0
GARFT,0.022451864000015153
PYDAMK,0.0
HKYNH,0.0003096720000075326
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,0.0
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.2660875520000303
ASAD,-0.080254728
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
H2Otm,-35.26030908012253
C22STDSrx,0.0
NTRLASE2,0.0
DHAD2m,0.029176696
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,0.000127144
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_RT,0.0
ALCD2x,-2.0818334898875683
PTE7x,0.0
NDPK3,0.21847442400001513
FAO161p_odd,0.0
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,0.0
SACCD4m,0.0
C4STMO2er,0.02682170765087947
URIDK2r,-0.001252672
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-1.0688850443491962
HSERTA,0.018443792000000018
CITtam,0.0
PHETRS,0.017510176
FMNAT,0.00013818400000000002
TYRTRS,0.011474792
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.080254728
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.06181093599999998
GTPt2m,0.0
PPCDC,0.0001416799999999982
ATPATF1,0.0
