,0
Biomass growth rate,0.033960723684685584
Glucose uptake,-0.476
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_RT,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-5.990671657978537e-05
PDE4,0.0
PAPSR,0.0
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,0.0
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.024053022156922482
MEVK1,0.030134199143513635
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,0.0
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.0018774846481841574
PPDOy,0.0
GLYCLTDy,0.0
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,0.5584308753892272
MI145P6Kn,0.0
ADK3m,0.03131569272050384
DMATT,0.009994471176784543
PMPK,4.7307288092767015e-05
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.003231838308729419
GLYTRS,0.017429322609454335
HACD4p,0.0
GAT2er_RT,0.0
DASYNer_RT,0.0012531507039648978
ACOAD8m,0.0
ECOAH1p,0.0
KYN,0.01955767512349714
HSTPT,0.0021245828737139305
FACOAL141p,0.0
FE2t,-0.00014548774026519303
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.007086686093454394
AICART,0.006268504338446494
CYTD,0.0
42A12BOOX,0.0
DPGM,0.0
TPI,0.3434928335586135
COAtim,0.0
NADS2,0.0
ACACT4p,0.0
HISTRS,0.002077275585621163
PHETRSm,0.0
OMCDC,0.01087439352745475
LEUTA,-0.0871468847330647
DTMPK,8.568290585646174e-05
ALCD23yi,0.0
FA140COAabcp,0.0
FACOAL160p,0.0
PGL,0.013915462046600956
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.0007919301156031831
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.0
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.015555166112198367
MALtm,0.0
AMID,0.0
MCITSm,0.0
GNNUC,0.0
PNTK,2.6149757237194464e-05
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
FA180COAabcp,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.00014494436868623807
UDPG4E,0.0
CYOR_u9m,2.065805033753783
SHK3Dr,0.006356462612786406
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,2.6149757237194464e-05
IPC324PLCg_RT,0.0
GARFT,0.004143921464732563
PYDAMK,0.0
HKYNH,5.715589796145143e-05
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,0.0
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.04911155342069405
ASAD,-0.014812546967378264
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
H2Otm,-7.399454047878205
C22STDSrx,0.0
NTRLASE2,0.0
DHAD2m,0.005385117993956908
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,2.346686006611774e-05
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_RT,0.0
ALCD2x,0.0
PTE7x,0.0
NDPK3,0.001375409309229766
FAO161p_odd,0.0
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,0.0
SACCD4m,0.0
C4STMO2er,0.004972936690595879
URIDK2r,-0.00023120460684533927
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-0.1972607276796192
HSERTA,0.003404155020705504
CITtam,-0.2385271162040709
PHETRS,0.003231838308729419
FMNAT,2.5504503487198875e-05
TYRTRS,0.0021178926111480472
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.014812546967378264
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.01140839194667276
GTPt2m,0.0
PPCDC,2.6149757237194464e-05
ATPATF1,0.0
PRATPP,0.0021245828737139305
ASPTRS,0.006700314940093727
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.006268504338446494
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,-0.029330153319326396
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.006356462612786406
ORNt3m,0.005337471098627299
LEUTAm,0.07627249120560996
ECOAH6m,0.0
NADH2_u9cm,0.0
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.0
NDPK2,0.0
ACOAH,0.0
CERS2p26er,0.0
PYK,0.6795363103206579
TRDRm,0.0
FAS180COA,0.006535197901538785
PPCOAOm,0.0
GHMT2r,-0.03446127079107415
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.030134199143513635
FAS80COA_L,0.007350391112865977
DHFS,0.00013251474381763807
ACGKm,0.005337471098627299
PGCD,0.0
PPBNGS,9.386744026447096e-05
PRMICI,0.0021245828737139305
PPNCL3,2.6149757237194464e-05
NNAMrm,0.0
PGM,-0.6922492355462306
CYTK2,0.0
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,0.0
ETHAPTer_RT,0.0
PGMT,-0.05692693476224368
GTHRDabcv,0.0
DOLPMMer,0.027438261054528557
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.004582829857629895
ADNCYC,6.0857616842956566e-05
URIt2,0.0
ASPCT,0.0034917736878119976
CYSTRS,0.0011638000399504904
ARGt2r,0.0
ACITL,0.18237217661262395
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_RT,0.0
ALKP,0.0
3HPCOAHYDm,0.0
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0010529522378436766
PHETA1,-0.003231838308729419
HEX10,0.0
16GS,0.006021745720150024
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,0.2175756590198342
BTDD_RR,0.0
HMGCOAS,-0.030134199143513635
GTPCI,0.00013251474381763807
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.010874393527454748
PMETMer_RT,0.000584124447376592
G3PD1ir,0.0028900575855667432
NNAM,0.0
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,0.0
ASPTA,-0.042010671744739485
MIPCS326g_RT,0.0
PRAMPC,0.0021245828737139305
ADSL1r,0.004214186202036175
ARGN,0.0
ICDHyp,0.0
TKT2,-0.017843307966056404
SAM24MTer,0.00019123283506846452
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
MTHFD,-0.038699127617515
ATP2tp_H,8.50376521064527e-05
GLUDC,0.0
METt2r,0.0
HBCO_nadp,0.0
VALTAm,-0.009344904414867563
GTHRDt2,0.0
METSOXR1,0.0
PLDn_RT,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,4.7307288092767015e-05
ALCD2y,0.0
IG3PS,0.0021245828737139305
AGATer_RT,0.0028900575855667432
DCTPD,0.0
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.00014494436868623807
LCYSTCBOXL,0.0
DHAK,0.0
GRTT,0.009969340241257877
ILETRS,0.005385117993956908
IPCS124g_RT,0.0
ILETA,-0.005385117993956908
UREASE,0.0
PTE9m,0.0
TYRTA,-0.0021430235466747146
GLCP,0.0
PYRDC,0.031210176752015525
PINOSer_RT,0.00015961540131802224
NNDPR,5.715589796145143e-05
MIPC124PLCg_RT,0.0
PIt2m,6.529617031623486
PYDXO_1,0.0
RBFSa,0.0001182512398700752
PMANM,-0.027438261054528557
METTRS,0.0019374592862113126
NADS1,5.715589796145143e-05
PSERDg_RT,0.0
GLYOX,0.0
D_LACDcm,0.0
ACOAO5p,0.0
DRTPPD,5.91256199350376e-05
ALASm,0.00018773488052894192
ALCD24xi,0.0
NDP3g,0.0
DAGPYPer_RT,0.0014671032631784172
SPMDt3i,0.11478227080825848
FACOAL100p,0.0
ACACT6m,0.0
3MOBDC,0.0
DAGKer_RT,0.0
MDHm,0.5475564818617724
SERTRS,0.011440348987660033
TALA,-0.35786973649745024
ALCD25xi,0.0
GAPD,0.6922492355462306
OIVD3m,0.0
APCPT,0.0
OCBTm,0.0
C5STDSer,0.00019123283506846452
CITtcm,0.05615493959144696
13GS,0.032517460849533816
SHCHD2,0.0
GALKr,0.0
PTE9x,0.0
TMDPK,4.7307288092767015e-05
CERH126er,0.0
ACONTam,-0.37605869877660325
DCTUP,0.0
MIPC324PLCg_RT,0.0
GLYCTO1p,0.00013251474381763807
FECOSTESTH_RT,0.0
HACD7p,0.0
THRt2r,0.0
ETF,0.0
NP1,0.0
PTPATi,2.6149757237194464e-05
IGPS,0.020406761137061774
ALDD20x,0.0
LYSt6,0.0
METS,0.0040385752998591245
CYSTL,0.0
PI35BP5Per_RT,0.0
NADK,2.6998775329450634e-05
NTD2,0.0
TRDR,0.0038463915645274792
MIPCS226g_RT,0.0
CDPDGPm_RT,6.112930263243405e-05
FA141COAabcp,0.0
HISTP,0.0021245828737139305
FACOAL161p,0.0
GK1,0.0020543181364103182
EPISTATer_RT,0.0
ACHLE2,0.0
ACACT6p,0.0
GMPS2,0.0
ADCS,0.00013251474381763807
IMPD,0.0020543181364103182
TRPTA,0.0
COAHLp,0.0
LANOSTESTH_RT,0.0
ORNTACim,0.005337471098627299
VALt2r,0.0
C24STRer,0.00019123283506846452
ASNt7,0.0
YUMPS,0.0
PCDAGATer_RT,1.4671032631784172e-05
FA161COAabcp,0.0
IPC226PLCg_RT,0.0
FAS140COA,0.007350391112865977
ACLSm,0.020390392068245746
FAO141p_odd,0.0
G6PDH2r,0.013915462046600956
PIN3Kn_RT,0.0
PSPHSer,0.00013604665908085046
PDHm,0.5342199698278947
NH4t,0.22415076077171325
GLUCYS,6.520458947459633e-05
ALATRS,0.01961483102145859
PPPGOm,1.173343003305887e-05
DCMPDA,-0.00014552170098887753
GLNTRS,0.004003901400977061
AMPDA,0.0
OCBT,0.004981189146451258
ACACT1r,0.030134199143513635
ADEt2,0.0
TREH,0.0
GLUt2r,0.0
FECOSTt,0.0
BFFS,0.0
TRIGSer_RT,0.0
DDPAm,0.0
GBEZ,0.017593998158601375
HPROb,0.0
TMPPP,4.7307288092767015e-05
TKT1,-0.011486845353269992
FBA,0.0
DB4PS,0.0001182512398700752
ARGSS,0.004981189146451258
DHQS,0.006356462612786406
LEUt2r,0.0
PSCVT,0.006356462612786406
ABUTt2r,0.0
ECOAH6p,0.0
CTPS1,0.0015241912396923732
LANOSTATer_RT,0.0
MIP2C226PLCg_RT,0.0
HACD5p,0.0
ACGAM6PS,0.0010529522378436766
GTHS,6.520458947459633e-05
GUACYC,0.0
GLUt7m,0.0
PRASCSi,0.004143921464732563
UTUP,0.0
PPND2,0.0021430235466747146
PRAGSr,0.004143921464732563
FAS120COA,0.007350391112865977
SERPTer,0.00013604665908085046
G5SD,0.008011232835046275
MTRI,0.024213894105016828
CYSS,0.0
GLCS2,0.0
HISt2r,0.008597683592005105
ATHRDHr,0.0
DOLPMTcer,0.027438261054528557
PEPAT,0.0
CYSTA,0.0
PROt2r,0.0
ACOAD9m,0.00014494436868623807
DROPPRx,5.91256199350376e-05
PDXPP,0.0
G12MT1g,0.0
PPAm,0.031662465670048164
AIRCr,0.004143921464732563
LEUTRSm,0.0
GLYK,0.0
GTHOm,0.0
CSNATm,0.00014494436868623807
NTPP10,0.0
PUNP2,0.0
HEMEOSm,2.346686006611774e-05
