,5
THFGLUS,0.0
ADK1,1.495733127566711
BTDD_RR,0.0
HMGCOAS,-0.20715883447025177
GTPCI,0.0009109782459672516
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.07475648109942466
PMETMer_RT,0.004015588372792755
G3PD1ir,0.01986782386771299
NNAM,0.0
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,0.0
ASPTA,-0.28880415080902777
MIPCS326g_RT,0.0
PRAMPC,0.014605535383832254
ADSL1r,0.02897060239420211
ARGN,0.0
ICDHyp,0.0
TKT2,-0.053751676905327894
SAM24MTer,0.00131463826320907
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
MTHFD,-0.26603879977296707
ATP2tp_H,0.0005845949584577359
GLUDC,0.0
METt2r,0.0
HBCO_nadp,0.0
VALTAm,-0.06424194310259516
GTHRDt2,0.0
METSOXR1,0.0
PLDn_RT,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,0.0003252159653081574
ALCD2y,0.0
IG3PS,0.014605535383832254
AGATer_RT,0.01986782386771299
DCTPD,0.0
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.000996426231109272
LCYSTCBOXL,0.0
DHAK,0.0
GRTT,0.06853465376599865
ILETRS,0.03702022283054502
IPCS124g_RT,0.0
ILETA,-0.03702022283054502
UREASE,0.0
PTE9m,0.0
TYRTA,-0.014732306574903561
GLCP,0.0
PYRDC,0.21455568833160021
PINOSer_RT,0.0010972828693096481
NNDPR,0.00039292065298871665
MIPC124PLCg_RT,0.0
PIt2m,38.13466567031818
PYDXO_1,0.0
RBFSa,0.0008129231810502542
PMANM,-0.18862549334317158
METTRS,0.013319146317896898
NADS1,0.00039292065298871665
PSERDg_RT,0.0
GLYOX,0.0
D_LACDcm,0.0
ACOAO5p,0.0
DRTPPD,0.0004064615905251271
ALASm,0.001290591425860369
ALCD24xi,0.0
NDP3g,0.0
DAGPYPer_RT,0.010085663820037618
SPMDt3i,0.7890756056015513
FACOAL100p,0.0
ACACT6m,0.0
3MOBDC,0.0
DAGKer_RT,0.0
MDHm,3.3507229190717047
SERTRS,0.07864716599666834
TALA,-2.1500826699629902
ALCD25xi,0.0
GAPD,4.345419412142952
OIVD3m,0.0
APCPT,0.0
OCBTm,0.0
C5STDSer,0.00131463826320907
CITtcm,0.38603952207621717
13GS,0.22354266849568652
SHCHD2,0.0
GALKr,0.0
PTE9x,0.0
TMDPK,0.0003252159653081574
CERH126er,0.0
ACONTam,-2.171754110610672
DCTUP,0.0
MIPC324PLCg_RT,0.0
GLYCTO1p,0.0009109782459672516
FECOSTESTH_RT,0.0
HACD7p,0.0
THRt2r,0.0
ETF,0.0
NP1,0.0
PTPATi,0.000179767619014467
IGPS,0.14028714791235797
ALDD20x,0.0
LYSt6,0.0
METS,0.027763357773496606
CYSTL,0.0
PI35BP5Per_RT,0.0
NADK,0.00018560423002127676
NTD2,0.0
TRDR,0.026442182505959665
MIPCS226g_RT,0.0
CDPDGPm_RT,0.00042023599250156735
FA141COAabcp,0.0
HISTP,0.014605535383832254
FACOAL161p,0.0
GK1,0.014122497456895746
EPISTATer_RT,0.0
ACHLE2,0.0
ACACT6p,0.0
GMPS2,0.0
ADCS,0.0009109782459672516
IMPD,0.014122497456895746
TRPTA,0.0
COAHLp,0.0
LANOSTESTH_RT,0.0
ORNTACim,0.03669267222083411
VALt2r,0.0
C24STRer,0.00131463826320907
ASNt7,0.0
YUMPS,0.0
PCDAGATer_RT,0.00010085663820037618
FA161COAabcp,0.0
IPC226PLCg_RT,0.0
FAS140COA,0.050530576525030124
ACLSm,0.14017461805214357
FAO141p_odd,0.0
G6PDH2r,0.30240114531756157
PIN3Kn_RT,0.0
PSPHSer,0.000935258547756266
PDHm,3.259040499516469
NH4t,1.5409339443846937
